system:time_start,tmax
"Oct 1, 2022",27.899
"Oct 2, 2022",28.714
"Oct 3, 2022",30.347
"Oct 4, 2022",31.777
"Oct 5, 2022",32.238
"Oct 6, 2022",31.672
"Oct 7, 2022",30.727
"Oct 8, 2022",30.415
"Oct 9, 2022",30.315
"Oct 10, 2022",28.904
"Oct 11, 2022",27.971
"Oct 12, 2022",27.251
"Oct 13, 2022",28.374
"Oct 14, 2022",28.69
"Oct 15, 2022",24.489
"Oct 16, 2022",25.096
"Oct 17, 2022",26.995
"Oct 18, 2022",27.666
"Oct 19, 2022",27.919
"Oct 20, 2022",27.437
"Oct 21, 2022",27.265
"Oct 22, 2022",16.508
"Oct 23, 2022",14.891
"Oct 24, 2022",16.571
"Oct 25, 2022",22.315
"Oct 26, 2022",19.893
"Oct 27, 2022",18.625
"Oct 28, 2022",19.252
"Oct 29, 2022",20.801
"Oct 30, 2022",22.693
"Oct 31, 2022",22.295
"Nov 1, 2022",18.445
"Nov 2, 2022",10.268
"Nov 3, 2022",7.666
"Nov 4, 2022",15.588
"Nov 5, 2022",19.104
"Nov 6, 2022",18.095
"Nov 7, 2022",13.249
"Nov 8, 2022",11.499
"Nov 9, 2022",8.856
"Nov 10, 2022",11.555
"Nov 11, 2022",11.83
"Nov 12, 2022",15.499
"Nov 13, 2022",12.036
"Nov 14, 2022",13.851
"Nov 15, 2022",13.096
"Nov 16, 2022",14.554
"Nov 17, 2022",15.184
"Nov 18, 2022",15.052
"Nov 19, 2022",12.529
"Nov 20, 2022",14.246
"Nov 21, 2022",13.303
"Nov 22, 2022",15.442
"Nov 23, 2022",17.819
"Nov 24, 2022",16.131
"Nov 25, 2022",16.595
"Nov 26, 2022",19.447
"Nov 27, 2022",17.933
"Nov 28, 2022",13.409
"Nov 29, 2022",12.533
"Nov 30, 2022",12.914
"Dec 1, 2022",8.46
"Dec 2, 2022",11.447
"Dec 3, 2022",14.973
"Dec 4, 2022",12.713
"Dec 5, 2022",10.374
"Dec 6, 2022",10.313
"Dec 7, 2022",9.738
"Dec 8, 2022",10.011
"Dec 9, 2022",13.99
"Dec 10, 2022",10.343
"Dec 11, 2022",9.402
"Dec 12, 2022",5.999
"Dec 13, 2022",8.187
"Dec 14, 2022",9.203
"Dec 15, 2022",9.38
"Dec 16, 2022",9.519
"Dec 17, 2022",7.581
"Dec 18, 2022",10.679
"Dec 19, 2022",10.745
"Dec 20, 2022",14.041
"Dec 21, 2022",15.047
"Dec 22, 2022",13.868
"Dec 23, 2022",15.788
"Dec 24, 2022",17.097
"Dec 25, 2022",19.293
"Dec 26, 2022",18.146
"Dec 27, 2022",15.793
"Dec 28, 2022",12.282
"Dec 29, 2022",10.486
"Dec 30, 2022",12.722
"Dec 31, 2022",11.948
"Jan 1, 2023",7.482
"Jan 2, 2023",8.123
"Jan 3, 2023",11.131
"Jan 4, 2023",11.379
"Jan 5, 2023",10.373
"Jan 6, 2023",11.532
"Jan 7, 2023",9.579
"Jan 8, 2023",12.46
"Jan 9, 2023",11.795
"Jan 10, 2023",10.964
"Jan 11, 2023",10.612
"Jan 12, 2023",10.149
"Jan 13, 2023",11.557
"Jan 14, 2023",9.056
"Jan 15, 2023",8.221
"Jan 16, 2023",9.307
"Jan 17, 2023",6.136
"Jan 18, 2023",8.744
"Jan 19, 2023",7.868
"Jan 20, 2023",7.467
"Jan 21, 2023",10.067
"Jan 22, 2023",9.922
"Jan 23, 2023",10.942
"Jan 24, 2023",12.733
"Jan 25, 2023",12.62
"Jan 26, 2023",12.4
"Jan 27, 2023",17.408
"Jan 28, 2023",14.053
"Jan 29, 2023",7.985
"Jan 30, 2023",7.68
"Jan 31, 2023",8.882
"Feb 1, 2023",11.756
"Feb 2, 2023",12.411
"Feb 3, 2023",14.231
"Feb 4, 2023",16.757
"Feb 5, 2023",10.573
"Feb 6, 2023",10.187
"Feb 7, 2023",12.595
"Feb 8, 2023",16.737
"Feb 9, 2023",16.674
"Feb 10, 2023",14.105
"Feb 11, 2023",10.12
"Feb 12, 2023",12.717
"Feb 13, 2023",13.968
"Feb 14, 2023",5.899
"Feb 15, 2023",8.417
"Feb 16, 2023",8.115
"Feb 17, 2023",10.03
"Feb 18, 2023",11.209
"Feb 19, 2023",15.149
"Feb 20, 2023",17.241
"Feb 21, 2023",15.02
"Feb 22, 2023",4.45
"Feb 23, 2023",4.139
"Feb 24, 2023",6.773
"Feb 25, 2023",2.758
"Feb 26, 2023",4.382
"Feb 27, 2023",5.862
"Feb 28, 2023",6.698
"Mar 1, 2023",3.066
"Mar 2, 2023",10.213
"Mar 3, 2023",12.189
"Mar 4, 2023",8.691
"Mar 5, 2023",8.397
"Mar 6, 2023",7.569
"Mar 7, 2023",9.438
"Mar 8, 2023",9.359
"Mar 9, 2023",15.48
"Mar 10, 2023",11.184
"Mar 11, 2023",14.248
"Mar 12, 2023",16.474
"Mar 13, 2023",16.211
"Mar 14, 2023",11.492
"Mar 15, 2023",13.145
"Mar 16, 2023",13.709
"Mar 17, 2023",14.901
"Mar 18, 2023",15.073
"Mar 19, 2023",11.243
"Mar 20, 2023",11.777
"Mar 21, 2023",8.678
"Mar 22, 2023",6.428
"Mar 23, 2023",9.066
"Mar 24, 2023",6.754
"Mar 25, 2023",7.901
"Mar 26, 2023",7.472
"Mar 27, 2023",11.521
"Mar 28, 2023",15.692
"Mar 29, 2023",8.428
"Mar 30, 2023",7.764
"Mar 31, 2023",13.932
"Apr 1, 2023",17.571
"Apr 2, 2023",16.526
"Apr 3, 2023",6.392
"Apr 4, 2023",7.653
"Apr 5, 2023",12.723
"Apr 6, 2023",15.954
"Apr 7, 2023",18.252
"Apr 8, 2023",18.495
"Apr 9, 2023",24.167
"Apr 10, 2023",26.616
"Apr 11, 2023",23.634
"Apr 12, 2023",17.563
"Apr 13, 2023",12.904
"Apr 14, 2023",16.149
"Apr 15, 2023",21.716
"Apr 16, 2023",21.673
"Apr 17, 2023",17.817
"Apr 18, 2023",13.133
"Apr 19, 2023",13.524
"Apr 20, 2023",20.242
"Apr 21, 2023",25.124
"Apr 22, 2023",25.69
"Apr 23, 2023",23.792
"Apr 24, 2023",23.633
"Apr 25, 2023",25.66
"Apr 26, 2023",27.02
"Apr 27, 2023",29.014
"Apr 28, 2023",30.629
"Apr 29, 2023",30.77
"Apr 30, 2023",26.006
"May 1, 2023",13.72
"May 2, 2023",11.415
"May 3, 2023",11.954
"May 4, 2023",10.82
"May 5, 2023",13.104
"May 6, 2023",14.193
"May 7, 2023",17.352
"May 8, 2023",19.398
"May 9, 2023",15.899
"May 10, 2023",18.299
"May 11, 2023",22.84
"May 12, 2023",28.425
"May 13, 2023",30.136
"May 14, 2023",28.625
"May 15, 2023",29.973
"May 16, 2023",30.028
"May 17, 2023",31.424
"May 18, 2023",30.128
"May 19, 2023",28.59
"May 20, 2023",28.728
"May 21, 2023",29.263
"May 22, 2023",28.832
"May 23, 2023",24.394
"May 24, 2023",20.214
"May 25, 2023",18.688
"May 26, 2023",19.675
"May 27, 2023",25.129
"May 28, 2023",21.79
"May 29, 2023",18.857
"May 30, 2023",17.17
"May 31, 2023",19.67
