system:time_start,poppyAreaSqKm
"Oct 3, 2022",0.078
"Oct 5, 2022",0.188
"Oct 5, 2022",0.061
"Oct 8, 2022",0.053
"Oct 10, 2022",0.111
"Oct 13, 2022",0.056
"Oct 18, 2022",0.087
"Oct 23, 2022",0.139
"Oct 25, 2022",0.308
"Oct 28, 2022",0.094
"Oct 30, 2022",0.256
"Nov 12, 2022",0.033
"Nov 14, 2022",0.438
"Nov 17, 2022",0.089
"Nov 19, 2022",0.349
"Nov 22, 2022",0.059
"Nov 24, 2022",0.454
"Nov 27, 2022",0.124
"Nov 29, 2022",0.555
"Dec 7, 2022",0.188
"Dec 9, 2022",0.601
"Dec 14, 2022",2.096
"Dec 19, 2022",0.452
"Dec 24, 2022",1.77
"Jan 6, 2023",0.149
"Jan 18, 2023",0.916
"Jan 21, 2023",0.24
"Jan 23, 2023",1.343
"Jan 26, 2023",0.218
"Jan 28, 2023",1.564
"Jan 31, 2023",0.682
"Feb 7, 2023",1.443
"Feb 10, 2023",0.096
"Feb 15, 2023",3.362
"Feb 20, 2023",0.036
"Mar 2, 2023",2.524
"Mar 7, 2023",0.814
"Mar 9, 2023",2.295
"Mar 12, 2023",0.578
"Mar 17, 2023",0.145
"Mar 27, 2023",0.617
"Apr 1, 2023",0.387
"Apr 6, 2023",1.141
"Apr 18, 2023",34.61
"Apr 21, 2023",3.371
"Apr 23, 2023",29.575
"Apr 26, 2023",3.091
"Apr 28, 2023",5.005
"May 11, 2023",0.463
"May 13, 2023",3.166
"May 16, 2023",1.908
"May 18, 2023",2.488
"May 21, 2023",1.303
"May 23, 2023",9.19
"May 26, 2023",2.179
"May 28, 2023",8.949
